"filename", "language", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\context\user.context.jsx", "JavaScript JSX", 11, 0, 4, 15
"Total", "-", 11, 0, 4, 15
